District Name,District Number,Year,elem_nutr_gen_atm,mid_nutr_gen_atm,elem_nutr_bkfst,mid_nutr_bkfst,elem_nutr_lunch,mid_nutr_lunch,elem_nutr_a_la_carte,mid_nutr_a_la_carte,elem_nutr_vend,mid_nutr_vend,elem_nutr_sch_store,mid_nutr_sch_store,elem_nutr_sch_day,mid_nutr_sch_day,elem_nutr_aft_sch_prog,mid_nutr_aft_sch_prog,elem_ne_gen_guide_and_class,mid_ne_gen_guide_and_class,elem_ne_cafeteria,mid_ne_cafeteria,elem_ne_events_dur_sch_day,mid_ne_events_dur_sch_day,elem_ne_aft_sch_prog,mid_ne_aft_sch_prog,elem_ne_fam_comm,mid_ne_fam_comm,elem_ne_staff_well,mid_ne_staff_well,elem_pa_gen_guide_pe_class,mid_pa_gen_guide_pe_class,elem_pa_thru_day,mid_pa_thru_day,elem_pa_punish,mid_pa_punish,elem_pa_recess,mid_pa_recess,elem_pa_bef_aft_sch,mid_pa_bef_aft_sch,elem_pa_fam_comm,mid_pa_fam_comm,3_mean_edfa_ela,3_mean_edfa_math,4_mean_edfa_ela,4_mean_edfa_math,5_mean_edfa_ela,5_mean_edfa_math,6_mean_edfa_ela,6_mean_edfa_math,7_mean_edfa_ela,7_mean_edfa_math,8_mean_edfa_ela,8_mean_edfa_math,three_mean_ela2011,three_mean_math2011,four_mean_ela2011,four_mean_math2011,five_mean_ela2011,five_mean_math2011,six_mean_ela2011,six_mean_math2011,seven_mean_ela2011,seven_mean_math2011,eight_mean_ela2011,eight_mean_math2011,three_ela_change,three_math_change,four_ela_change,four_math_change,five_ela_change,five_math_change,six_ela_change,six_math_change,seven_ela_change,seven_math_change,eight_ela_change,eight_math_change
Goodland,352,2010,B+,B+,A+,A+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.29388636,-0.52124751,0.10561949,-0.19964525,-0.43476531,-0.20830691,-0.12291642,-0.027788077,-0.13149458,-0.29806861,-0.085666463,-0.28747067,-0.12381925,-0.073839217,0.28101191,0.30808201,-0.18969528,-0.019211812,-0.40677044,-0.23137854,-0.036098227,0.2284935,-0.010912415,-0.29699516,0.17006711,0.447408293,0.17539242,0.50772726,0.24507003,0.189095098,-0.28385402,-0.203590463,0.095396353,0.52656211,0.074754048,-0.00952449
Great Bend,428,2010,B+,B+,A,A+,,,A,E,,,,E-,A,A,A+,,A,A,A+,A+,E+,B+,A+,,A-,B+,A+,A+,B+,E-,E,A+,B+,B+,A+,,E,E,A+,A+,-0.17873371,0.008068528,-0.24628444,-0.16777726,0.024287285,-0.027558267,0.18816178,0.3689585,0.33130828,0.22578949,0.078821979,0.36667347,-0.15484034,-0.13633661,-0.27946413,-0.19682872,-0.13196513,-0.09857583,-0.033483095,0.18549071,0.089878999,0.12625422,0.05353868,0.37868512,0.02389337,-0.144405138,-0.03317969,-0.02905146,-0.156252415,-0.071017563,-0.221644875,-0.18346779,-0.241429281,-0.09953527,-0.025283299,0.01201165
Greensburg,422,2010,B+,B+,A+,A+,A,A,A,A,,,,,B+,B+,,,A-,B+,B-,B-,E+,E,,,A+,A+,E-,E-,E+,E+,A+,A+,B+,B+,A+,,E+,E,E-,E-,,,,,,,-0.20215169,-0.52602744,-0.51998883,-0.61991644,-0.41817579,-0.71853364,,,,,,,0.014150991,0.029948071,-0.30752349,-0.64257962,-0.5740431,-0.94088048,0,0,0,0,0,0,0.216302681,0.555975511,0.21246534,-0.02266318,-0.15586731,-0.22234684
Halstead,440,2010,B+,B+,E-,E-,A+,A+,,,,E-,,,A-,A-,,,A-,A-,E-,E,B+,B+,,,A-,A-,A+,A+,E-,A-,E-,A,B+,B+,E-,,E,E-,E-,A,0.053918414,0.041472096,0.23136836,0.43772253,0.11519592,0.34614664,0.23092481,0.62410641,0.25887287,0.36649969,0.11829203,0.013745472,0.13422355,-0.067055225,0.14163911,-0.10637849,0.091656551,-0.11349018,0.064842612,0.53677583,0.031814244,-0.10353258,0.11428376,-0.18374403,0.080305136,-0.108527321,-0.08972925,-0.54410102,-0.023539369,-0.45963682,-0.166082198,-0.08733058,-0.227058626,-0.47003227,-0.00400827,-0.197489502
Haven,312,2010,B+,B+,E-,E-,A-,A-,A,A,,A-,,,B+,B+,A+,A+,B,B,E,E,A-,A-,A+,A+,B+,B+,A,A,B,A-,A,A,B+,B+,E-,,E,E,B,B,0.17244609,0.062360633,0.19782621,0.21814255,0.16307881,0.16926387,0.34785238,0.45606652,0.01665478,0.20035318,0.17294508,0.13084279,0.20906784,0.26012012,0.094221234,0.053413279,0.44419652,0.15127535,0.012315817,-0.02553753,0.20420058,0.21585757,0.018930245,-0.13119398,0.03662175,0.197759487,-0.103604976,-0.164729271,0.28111771,-0.01798852,-0.335536563,-0.48160405,0.1875458,0.01550439,-0.154014835,-0.26203677
Hays,489,2010,B+,B+,E-,E-,,,,E-,,,,,A,A-,E+,,B+,B+,A+,A-,B-,B-,A+,,B,B+,B+,B-,B,B,E,E,B+,B+,E,,,,E-,E-,0.48282054,0.60088855,0.45554703,0.2819809,0.30472764,0.044656951,0.38331538,0.26522854,0.53693652,0.36151171,0.56607389,0.21387127,0.36851907,0.30480823,0.37265077,0.15711154,0.22546281,0.056435078,0.39367691,0.29519674,0.48115391,0.34108385,0.58821601,0.32531205,-0.11430147,-0.29608032,-0.08289626,-0.12486936,-0.07926483,0.011778127,0.01036153,0.0299682,-0.05578261,-0.02042786,0.02214212,0.11144078
Haysville,261,2010,B+,B+,A+,A+,,,E-,E-,,,,,A-,A-,A-,A-,B-,B-,B+,B+,B-,B-,,B-,B-,B-,B-,B-,A,A,E-,E-,B-,B-,E,,,,A+,A+,-0.051896602,-0.22333522,-0.090887636,-0.13128337,-0.060448993,-0.098663814,-0.28612164,-0.44195092,-0.43659961,-0.41333643,-0.30379644,-0.25784653,0.21641681,0.30402812,-0.054482087,-0.069104888,0.071280167,0.001017692,-0.30229434,-0.175906,-0.20568237,-0.20442156,-0.28891656,-0.17165798,0.268313412,0.52736334,0.036405549,0.062178482,0.13172916,0.099681506,-0.0161727,0.26604492,0.23091724,0.20891487,0.01487988,0.08618855
Herington,487,2010,B,B,E,E,E-,E-,,E,,,,,A+,A+,E,,A,A,E,E,E,E,A,,E,E,E-,E-,A-,A+,E,E,B+,B+,E,,E,E,E,E,0.17500311,-0.18402646,0.2864621,0.37771985,0.35196576,0.38179111,0.4629024,0.79262161,0.12232868,0.17831475,0.17088215,0.014415187,-0.047596302,-0.2620849,0.44589314,0.076794878,0.37063542,0.31872165,0.39110848,0.79623002,0.43000543,0.54615957,0.087943032,0.071583919,-0.222599412,-0.07805844,0.15943104,-0.300924972,0.01866966,-0.06306946,-0.07179392,0.00360841,0.30767675,0.36784482,-0.082939118,0.057168732
Hesston,460,2010,B+,B+,E,E,B+,B+,,E-,,A+,,,,,,,A,A,B+,B+,B+,B+,,,B+,B,E-,E-,A-,A-,E-,A+,B+,B+,E-,,B+,A+,B+,B+,0.21374947,-0.09693478,0.21683186,0.53517574,0.31283024,-0.21928927,0.60566324,0.56201494,0.3694725,0.10714137,0.26874521,0.69822598,-0.006945344,0.019527297,0.44511926,0.84352988,0.38080499,0.19379431,0.22262184,0.004828457,0.28024054,0.23951204,0.45283151,0.73251313,-0.220694814,0.116462077,0.2282874,0.30835414,0.06797475,0.41308358,-0.3830414,-0.557186483,-0.08923196,0.13237067,0.1840863,0.03428715
Hiawatha,415,2010,B+,B+,A+,A+,B+,B+,,A+,B+,B+,,,A-,A-,,,A,A,A-,A-,B+,B+,,,A+,A-,E-,E-,B,E-,E,E,B,B+,E-,,E-,E,E-,E-,0.09336447,-0.26176172,-0.15858975,-0.1270007,0.32223862,-0.047445588,0.4581992,0.054118451,0.043232456,0.28128919,0.72736406,0.53804082,0.11494818,0.42411599,0.051616073,0.078883544,-0.11506108,-0.064174578,0.47628865,0.13388062,0.24925791,0.50163895,0.19544518,0.22272435,0.02158371,0.68587771,0.210205823,0.205884244,-0.4372997,-0.01672899,0.01808945,0.079762169,0.206025454,0.22034976,-0.53191888,-0.31531647
Hoisington,431,2010,B+,B+,E-,E-,A+,A+,,,,,,,A-,A-,,,A,A,A,E-,E+,E+,,,E,A+,E+,E+,A-,A-,E-,A+,B,B+,E-,,,,E+,E+,0.32135218,0.17139393,0.053714115,0.091576807,0.00146252,0.45767492,0.047749352,0.20515327,-0.00755729,0.23564623,-0.027746586,0.27515915,0.43853179,0.065395489,0.50345045,0.22500607,0.036421012,0.35430145,0.16078167,-0.01421362,0.31713519,0.32368824,-0.018902756,0.10867434,0.11717961,-0.105998441,0.449736335,0.133429263,0.034958492,-0.10337347,0.113032318,-0.21936689,0.32469248,0.08804201,0.00884383,-0.16648481
Holcomb,363,2010,B+,B+,E,E,A+,A+,,,,B,,,A,A-,A,,E,E,A+,A+,E,E,E-,,E-,E-,E+,E+,A+,A+,E,E,B+,B+,E,,E,E,E-,E-,-0.064517811,-0.039194319,-0.16669211,-0.12388457,0.070171237,0.087687388,0.11941041,-0.1245464,0.18134901,0.10500731,-0.032355711,-0.031371213,-0.12518822,-0.19887057,0.013808789,-0.27042273,0.04381267,-0.039857935,0.1891652,0.10560419,0.10341398,-0.21068226,0.23199639,0.12629703,-0.060670409,-0.159676251,0.180500899,-0.14653816,-0.026358567,-0.127545323,0.06975479,0.23015059,-0.07793503,-0.31568957,0.264352101,0.157668243
Holton,336,2010,B,B,A+,A+,A+,A+,,E+,,E,,,E+,E+,,,E+,E+,E+,E+,E+,E+,,,E+,E,E+,E+,B+,E-,E+,E,B+,B+,E+,,E+,E+,E+,E+,-0.10949162,-0.19784053,-0.11620656,-0.056091279,0.067221604,0.039192077,0.17744069,0.28041565,0.23490414,0.14105061,0.12956612,0.37226346,0.23668823,0.1023322,-0.22755627,0.11212176,0.045607738,0.068453193,-0.14913356,0.12959832,0.2223724,0.33095452,0.32230076,0.3080419,0.34617985,0.30017273,-0.11134971,0.168213039,-0.021613866,0.029261116,-0.32657425,-0.15081733,-0.01253174,0.18990391,0.19273464,-0.06422156
Hoxie Community Schools,412,2010,B+,B+,E+,E+,E+,E+,E,E,E,E,,,E-,E-,,,E+,E+,E,E,A+,A,,,E,A-,E,E,A,E,E+,E+,B+,B+,B+,,E-,E-,A+,A+,-0.046829231,-0.18988036,-0.081451349,-0.44187838,,,,,-0.13865677,0.29864806,0.062160678,0.41021961,,,-0.31029943,-1.1769238,-0.35688704,-0.62744725,,,-0.67443573,-0.21602279,-0.1073767,0.085099876,0.046829231,0.18988036,-0.228848081,-0.73504542,-0.35688704,-0.62744725,0,0,-0.53577896,-0.51467085,-0.169537378,-0.325119734
Hugoton Public Schools,210,2010,B,B,E,E,A,A,B,B,,B+,,,A,A,A+,A+,A-,B+,A-,B+,E+,E-,A+,B+,A-,A,A+,A+,B+,A-,E+,A+,B+,B+,A+,,E,E-,B,,0.1933575,0.093105003,-0.11143958,0.14101809,0.072664812,-0.12869923,0.12520985,0.15377304,-0.078799762,-0.32800832,-0.28670287,-0.5136674,0.1499723,0.041169703,-0.26353785,-0.37379357,-0.13399972,-0.75304884,0.30973446,-0.33662635,0.25971487,-0.21852864,0.11933994,-0.097787611,-0.0433852,-0.0519353,-0.15209827,-0.51481166,-0.206664532,-0.62434961,0.18452461,-0.49039939,0.338514632,0.10947968,0.40604281,0.415879789
Humboldt,258,2010,B+,B+,A+,A+,A+,A+,,E,,A-,,,A,A-,,,A,A-,E+,A+,E+,E+,,,A+,B-,E-,E-,E+,E+,E-,E-,B-,B-,E-,,E+,E,E-,E-,0.07204856,0.25730154,0.14652199,-0.30361679,0.23386976,0.05938109,-0.16104028,-0.11164463,-0.081060514,0.28930205,0.13620023,0.50028348,-0.25994211,-0.30933374,0.21368469,-0.31136075,0.22335173,0.062892228,-0.025118906,0.14575431,-0.01658407,0.32294992,-0.062189914,0.18576439,-0.33199067,-0.56663528,0.0671627,-0.00774396,-0.01051803,0.003511138,0.135921374,0.25739894,0.064476444,0.03364787,-0.198390144,-0.31451909
Hutchinson,308,2010,B+,B+,A-,A-,A-,A-,E,E,,A,B+,B+,B,B,B+,,B-,B-,B+,B+,A,B-,B-,B-,B-,,A-,A-,B-,B,B+,B+,B,B,B-,,,A,B-,B-,-0.037700046,-0.099275641,-0.18034951,-0.26765406,0.062125728,-0.11888444,-0.11826726,-0.088687807,-0.089006424,-0.1405247,-0.060796026,-0.063117936,0.03001843,-0.10312753,-0.15497686,-0.38078606,-0.22455528,-0.31682855,-0.010566972,-0.10541577,-0.19915397,-0.037677031,-0.10929731,-0.087221034,0.067718476,-0.003851889,0.02537265,-0.113132,-0.286681008,-0.19794411,0.107700288,-0.016727963,-0.110147546,0.102847669,-0.048501284,-0.024103098
Independence,446,2010,B+,B+,A+,A+,A+,A+,,E,E-,E-,,,A,A-,E+,,A,A,E,E,E+,E,E+,,E+,E+,E,E,B+,A+,E+,E+,B+,B+,A+,,E+,E+,E,E,-0.22820936,-0.15995166,-0.37258124,-0.29930562,0.10601431,0.15174,-0.002811923,0.087537736,-0.21404219,-0.20696306,0.023542726,0.099083498,-0.19491932,0.28375304,-0.24605787,-0.31288022,-0.093492053,-0.15773198,-0.090066932,0.086478643,-0.036012702,-0.098073751,-0.14243145,-0.019999612,0.03329004,0.4437047,0.12652337,-0.0135746,-0.199506363,-0.30947198,-0.087255009,-0.001059093,0.178029488,0.108889309,-0.165974176,-0.11908311
Ingalls,477,2010,B+,B+,A-,A-,A,A+,E+,E+,,E-,,,A-,A-,,,A-,A-,E,E,A-,A-,A+,A+,A-,A-,E-,E-,A-,A+,E,E,B+,B+,A,,E-,E,E-,E-,,,0.40907103,0.97437572,0.30109051,-0.013669853,0.15257634,-0.056213405,,,,,,,,,-0.11874814,-0.27760315,0.079621136,-0.42014903,0.61209911,-0.25066388,,,0,0,-0.40907103,-0.97437572,-0.41983865,-0.263933297,-0.072955204,-0.363935625,0.61209911,-0.25066388,0,0
Inman,448,2010,B,B,,,A+,A+,,,,A,,,A,A,,,B,B,A+,A+,B-,B-,,,B-,B-,E-,E-,B-,B-,B-,B-,B+,,B-,,,,B-,A+,0.26476583,0.01840524,-0.18036422,-0.34303641,-0.060393333,-0.053668618,0.78696287,-0.22653179,0.38558501,-0.031556662,0.23260659,0.071540646,0.2058862,0.13583076,-0.057553619,0.057767507,-0.1355439,-0.009658385,0.37026465,-0.065707669,-0.053135224,-0.39964753,0.15555693,-0.20605148,-0.05887963,0.11742552,0.122810601,0.400803917,-0.075150567,0.044010233,-0.41669822,0.160824121,-0.438720234,-0.368090868,-0.07704966,-0.277592126
Iola,257,2010,B,B,E-,E-,E-,E,A+,E-,,E,,E+,A,A,E+,E+,B+,A-,B+,B-,E,E-,E,,E-,E-,E-,E-,B,A-,E,E,B+,B+,E,,E,E,E,E,0.16622762,0.23826072,0.10442,0.006273346,0.005897928,-0.17707922,-0.13765271,-0.2124237,0.12714113,0.43823126,0.08864288,0.14758214,0.21336499,0.095343724,-0.17492059,-0.22237995,0.074268989,-0.046188232,-0.010240031,-0.35098636,-0.10947946,0.032175872,0.13941017,0.46459466,0.04713737,-0.142916996,-0.27934059,-0.228653296,0.068371061,0.130890988,0.127412679,-0.13856266,-0.23662059,-0.406055388,0.05076729,0.31701252
Jayhawk,346,2010,B+,B+,A+,A+,A+,E-,,,,E,,,A,A,A+,,A-,A,A-,A+,B+,B+,,,A-,B+,E+,E+,A-,A+,E+,E+,B+,B+,E-,,E,E+,E+,E+,-0.26975781,-0.01558778,-0.20577584,-0.39787287,0.29509711,0.082759887,-0.18306236,-0.27948767,-0.37099281,-0.62078476,-0.003370615,-0.33501983,-0.4569208,-0.11618172,-0.18354774,-0.23572169,-0.084338605,-0.081028789,0.33586389,0.236743,-0.034004144,-0.10598151,-0.1758893,-0.5741567,-0.18716299,-0.10059394,0.0222281,0.16215118,-0.379435715,-0.163788676,0.51892625,0.51623067,0.336988666,0.51480325,-0.172518685,-0.23913687
Jefferson County North,339,2010,B+,B+,A+,A+,A+,A+,,,A+,A+,E,E,A,A,E+,,B,B-,A,A,A-,A-,A,,A,A,A,A,A,A+,E-,A+,B+,B+,A+,,B+,A+,E-,E-,-0.2088393,-0.37001398,0.047745548,0.25955504,0.00132336,0.16482393,-0.004560201,-0.16553941,-0.027082792,-0.090293378,0.19735734,0.28802902,0.26088408,0.24462961,-0.12569916,0.096164517,-0.050867103,-0.20249496,0.34366146,0.30881241,0.2160919,0.002546247,0.065869153,0.028117886,0.46972338,0.61464359,-0.173444708,-0.163390523,-0.052190463,-0.36731889,0.348221661,0.47435182,0.243174692,0.092839625,-0.131488187,-0.259911134
Jefferson West,340,2010,B+,B+,E,E,A+,A+,,,,E-,,,A,A,,,A-,A-,E,E-,E+,E,,,A+,A+,E+,E+,B+,B+,E,E,B+,B+,E,,,,E-,E-,0.25918403,0.2176818,0.035685714,0.057405621,-0.080351338,-0.23670259,-0.044072878,0.060682081,0.46677497,0.18865323,0.080157071,0.28406975,0.23173407,0.25265098,0.21331607,0.15279683,-0.001601912,0.22433157,-0.24371172,0.33740583,0.02305848,-0.046081115,0.34947726,0.41463014,-0.02744996,0.03496918,0.177630356,0.095391209,0.078749426,0.46103416,-0.199638842,0.276723749,-0.44371649,-0.234734345,0.269320189,0.13056039
Kansas City,500,2010,B+,B+,E,E,A,A+,,E+,E+,E+,,,B+,B+,A+,A+,A,B+,E,E,E,E,E,E-,A+,E-,E+,E+,A-,B,E+,E-,B+,B+,B,,E+,B-,B,B,-0.66910702,-0.61909395,-0.69652027,-0.64446086,-0.65315264,-0.57720202,-0.79178113,-0.6716451,-0.74860251,-0.5663147,-0.69161505,-0.52268571,-0.62961912,-0.48444292,-0.57464105,-0.46121934,-0.59484386,-0.4851009,-0.82252121,-0.65982509,-0.73199445,-0.48989311,-0.73915124,-0.57325429,0.0394879,0.13465103,0.12187922,0.18324152,0.05830878,0.09210112,-0.03074008,0.01182001,0.01660806,0.07642159,-0.04753619,-0.05056858
Kaw Valley,321,2010,B+,B+,E,E,E-,E-,A+,E-,,A,B,,A-,A-,,,B+,B+,A+,A-,E-,E,E-,A+,A+,A,E,E,B+,B+,A+,A+,B+,B+,E-,,E-,E-,E-,B-,0.10779047,-0.18836413,-0.093424253,0.085597903,0.11138263,0.35392639,-0.014545389,-0.007963811,-0.25078151,-0.15950581,-0.31463441,-0.22792798,0.32718241,0.35131648,0.1010951,-0.052880786,0.27567086,0.10613433,0.26733533,0.15203087,0.092617527,-0.12498164,0.007769169,-0.018394109,0.21939194,0.53968061,0.194519353,-0.138478689,0.16428823,-0.24779206,0.281880719,0.159994681,0.343399037,0.03452417,0.322403579,0.209533871
Kingman,331,2010,B+,B+,E,E,A+,A+,A+,A+,A,A,,,B+,B+,,,A,A,A,A,B+,B+,,,B-,B-,E-,E-,B+,B+,E,A+,B-,B-,B+,,A+,A+,A,A,0.20637165,0.17892772,-0.094381437,-0.10647769,-0.17630094,-0.033522412,-0.38593829,-0.31192797,-0.023558652,-0.52309954,0.18326661,-0.41428629,-0.13992973,0.04222792,0.24689402,0.16917394,-0.052929047,-0.12907133,-0.11047697,0.049144026,-0.002692509,-0.12482952,0.009603286,-0.26625568,-0.34630138,-0.1366998,0.341275457,0.27565163,0.123371893,-0.095548918,0.27546132,0.361071996,0.020866143,0.39827002,-0.173663324,0.14803061
Kinsley-Offerle,347,2010,B+,B+,E-,E-,A-,A-,,,A-,A,,,A,A-,,,B+,B,A+,A+,A,A,,,B,B-,E,E,B,E-,E+,E,B,B,E-,,,,E-,E-,0.37797636,0.50748384,,,0.073958583,0.22436716,0.063419096,-0.1770363,-0.3973859,-0.52751219,-0.31340149,-0.29920566,0.054823626,-0.087494649,0.085121267,0.22774903,,,0.00878475,-0.14162163,-0.50140619,-0.54585159,-0.26756266,-0.21551296,-0.323152734,-0.594978489,0.085121267,0.22774903,-0.073958583,-0.22436716,-0.054634346,0.03541467,-0.10402029,-0.0183394,0.04583883,0.0836927
Kismet-Plains,483,2010,B+,B+,A+,A+,A,A,,,,,,,A,A,,,B-,B-,B-,B-,E-,E-,,,B+,B+,E+,E+,A+,A-,E-,E-,B+,B+,E,,E,E,A+,,-0.36395702,-0.47244322,0.14610672,0.061950929,-0.36128163,-0.17176341,0.10829298,-0.25849828,-0.13444674,-0.16175005,-0.31473628,-0.19754662,-0.037436239,-0.072206974,0.067252815,0.09182857,0.14329776,0.35899916,0.16670565,-0.063953236,0.11600216,-0.13170174,0.037310582,0.22072771,0.326520781,0.400236246,-0.078853905,0.029877641,0.50457939,0.53076257,0.05841267,0.194545044,0.2504489,0.03004831,0.352046862,0.41827433
Labette County,506,2010,B,,A,,A+,,,,,,,,A-,,,,B,,A+,,E,,,,A,,E,,B,,E,,B+,,A+,,B+,,E-,,0.47256875,0.54082286,0.3163524,0.2401468,0.27241451,0.264541,0.32345447,0.25763223,0.31181192,0.52459633,0.21275733,0.31376582,0.35933831,0.25329044,0.029902879,0.030568512,0.003598861,0.20154499,0.1383431,0.092616133,0.3771064,0.21695854,0.34400868,0.32645637,-0.11323044,-0.28753242,-0.286449521,-0.209578288,-0.268815649,-0.06299601,-0.18511137,-0.165016097,0.06529448,-0.30763779,0.13125135,0.01269055
LaCrosse,395,2010,B+,B+,A+,E-,E,E,,,E-,E-,,,E,E,,,A,A,B+,A-,A+,B+,,,A-,A-,E,E,E+,E+,E-,E-,B+,B+,E-,,,,E,E,,,-0.27557844,-0.26599413,,,,,,,-0.19340797,-0.14071395,0.89386404,0.50354207,,,0.14401385,-0.329276,,,,,0.13214278,0.24815039,0.89386404,0.50354207,0.27557844,0.26599413,0.14401385,-0.329276,0,0,0,0,0.32555075,0.38886434
Lakin,215,2010,B+,B+,A-,A-,B+,A-,,,,,,,A,A,,,A,A,E-,A,E-,E-,,,A+,A+,A,A,B,A-,E,E-,B+,B+,A,,B+,B+,A+,A+,0.29445451,0.099344231,-0.13872735,-0.15481736,-0.31710744,-0.31794068,-0.009406384,0.13045211,-0.10249255,0.33458474,-0.06744545,0.05141034,0.54533178,0.50847518,0.3604053,0.095398106,-0.15049927,-0.24635214,0.049671263,0.12510839,-0.014999161,0.46082187,0.12697549,0.30040467,0.25087727,0.409130949,0.49913265,0.250215466,0.16660817,0.07158854,0.059077647,-0.00534372,0.087493389,0.12623713,0.19442094,0.24899433
Lansing,469,2010,B+,B+,E-,E-,E-,E-,E-,E,A+,A+,,,A,E-,A+,A+,A,A,A+,E,E,B+,E,A,E,E,E+,E+,A-,B+,E,A+,B+,B+,E-,,,,E,A+,0.13632993,-0.18172346,0.12679143,-0.14036468,-0.015628919,-0.2016428,0.10863554,-0.15484083,0.31584603,0.20006083,0.23926066,0.20144391,0.013857767,-0.39593494,-0.19353795,-0.40889785,0.014695507,-0.20117721,0.11526203,-0.066569112,0.31798252,0.22959587,0.35457042,0.36923632,-0.122472163,-0.21421148,-0.32032938,-0.26853317,0.030324426,0.00046559,0.00662649,0.088271718,0.00213649,0.02953504,0.11530976,0.16779241
Lawrence,497,2010,B+,B+,E,E,A+,A+,E+,E,,B+,,,A-,A-,E+,E-,A,A+,E,A-,A+,A+,A+,A+,A-,A-,E+,E+,B,B,E,E,B,B,A-,,A+,A+,A+,A+,0.23410368,0.089417979,0.19243371,0.11186823,0.17074743,-0.19141705,0.30173609,0.070412718,0.12013417,-0.061262768,0.17049167,0.013261721,0.18354882,0.17953712,0.21935128,0.14772858,0.21093389,0.10826084,0.31278408,0.13295399,0.21225333,-0.031822786,0.17274228,0.021139184,-0.05055486,0.090119141,0.02691757,0.03586035,0.04018646,0.29967789,0.01104799,0.062541272,0.09211916,0.029439982,0.00225061,0.007877463
Leavenworth,453,2010,B+,B+,E-,E-,A+,E-,E-,E-,,E-,,E-,A-,A-,,,B,B,A,A,B+,B+,,,B,B,E-,E-,B,A-,B-,B-,B+,B+,B-,,A+,E-,E-,E-,-0.2394395,-0.38165745,-0.25050765,-0.49906239,-0.53811526,-0.6603781,-0.63279253,-0.8278271,-0.49866322,-0.36975932,-0.33800951,-0.36930108,-0.63172472,-0.70602667,-0.45341954,-0.5046711,-0.49628556,-0.60998529,-0.54299796,-0.65396023,-0.67652923,-0.36515614,-0.41804594,-0.39454159,-0.39228522,-0.32436922,-0.20291189,-0.00560871,0.0418297,0.05039281,0.08979457,0.17386687,-0.17786601,0.00460318,-0.08003643,-0.02524051
Lebo-Waverly,243,2010,B+,B+,E,E+,E-,E-,,A+,,,,,A-,,E+,E+,B,B,E,E,B+,B+,B+,B+,B,B,A+,A+,A+,A+,E+,E+,B+,B+,A+,,E-,E-,B,B,0.18363884,0.29669279,-0.074052393,-0.36112207,0.23912002,0.11739785,-0.075163879,0.26289862,-0.081614695,-0.44491836,-0.15630063,-0.16258165,0.19002478,0.1852549,0.042955365,0.20638368,-0.1596037,-0.2724219,0.092086606,0.15065241,-0.13555628,-0.12577146,-0.12107311,-0.30809602,0.00638594,-0.11143789,0.117007758,0.56750575,-0.39872372,-0.38981975,0.167250485,-0.11224621,-0.053941585,0.3191469,0.03522752,-0.14551437
Leoti,467,2010,B,B,E,E,A,A,,,E-,A+,,,A,A-,,,B+,B+,E-,A+,B+,B-,,,E,E,E,A,A,A,E,E,B,B,A+,,,A+,E-,E-,0.2831223,-0.11082167,0.22315305,0.099511385,-0.46257573,-0.29931134,-0.074225053,-0.35700455,-0.11566031,-0.17686011,-0.40573573,-0.17818977,0.21889073,0.30657232,0.54195088,0.024133699,-0.18317442,-0.36388886,0.12824897,-0.18500051,-0.36431238,-0.40055779,0.38825387,-0.091787256,-0.06423157,0.41739399,0.31879783,-0.075377686,0.27940131,-0.06457752,0.202474023,0.17200404,-0.24865207,-0.22369768,0.7939896,0.086402514
LeRoy-Gridley,245,2010,B+,B+,E,E,E-,E-,,,,,,,E-,E-,,,A-,A,E-,E-,B+,B+,,,A,A,B+,B+,A+,E-,E+,E-,B+,B+,E,,E-,E-,B-,A+,,,-0.2300033,,,,,,0.27620974,-0.50994545,,,,,,,,,,,,,0.35407645,-0.29898223,0,0,0.2300033,0,0,0,0,0,-0.27620974,0.50994545,0.35407645,-0.29898223
Liberal,480,2010,B,B,A,A,A,A,,E,,,,,A-,A,,,B+,B+,E-,E-,E-,E-,,,E,E,A+,A+,B+,B+,E-,E-,B-,,A+,,,,A-,A-,-0.21476443,-0.087614052,-0.50427562,-0.51890272,-0.55144775,-0.57342279,-0.30302429,-0.50607353,-0.53550172,-0.59173369,-0.49118173,-0.58311188,-0.17709731,-0.056217574,-0.41139948,-0.41497785,-0.4575232,-0.41018414,-0.35299227,-0.35460797,-0.38277906,-0.4812192,-0.43365225,-0.66587371,0.03766712,0.031396478,0.09287614,0.10392487,0.09392455,0.16323865,-0.04996798,0.15146556,0.15272266,0.11051449,0.05752948,-0.08276183
Lincoln,298,2010,B+,B+,E,A+,,,,E,,,,,A+,A+,,,E-,E-,E,E+,B+,B+,,,E,E,E+,E+,A-,E+,E+,E,B+,B+,A+,,A-,E,E-,E-,0.42208758,0.72783357,0.22302434,0.63230556,-0.072027899,-0.058123574,0.011141481,0.07945358,-0.58068717,-0.63331652,-0.23412746,-0.20574114,0.19522277,0.082239769,0.40878302,0.72202587,-0.09151949,-0.24549107,0.14706439,-0.065270863,-0.43799311,-0.06021234,-0.33413488,-0.1788989,-0.22686481,-0.645593801,0.18575868,0.08972031,-0.019491591,-0.187367496,0.135922909,-0.144724443,0.14269406,0.57310418,-0.10000742,0.02684224
