District Name,District Number,Year,elem_nutr_gen_atm,mid_nutr_gen_atm,hs_nutr_gen_atm,elem_nutr_bkfst,mid_nutr_bkfst,hs_nutr_bkfst,elem_nutr_lunch,mid_nutr_lunch,hs_nutr_lunch,elem_nutr_a_la_carte,mid_nutr_a_la_carte,hs_nutr_a_la_carte,elem_nutr_vend,mid_nutr_vend,hs_nutr_vend,elem_nutr_sch_store,mid_nutr_sch_store,hs_nutr_sch_store,elem_nutr_sch_day,mid_nutr_sch_day,hs_nutr_sch_day,elem_nutr_aft_sch_prog,mid_nutr_aft_sch_prog,hs_nutr_aft_sch_prog,elem_ne_gen_guide_and_class,mid_ne_gen_guide_and_class,hs_ne_gen_guide_and_class,elem_ne_cafeteria,mid_ne_cafeteria,hs_ne_cafeteria,elem_ne_events_dur_sch_day,mid_ne_events_dur_sch_day,hs_ne_events_dur_sch_day,elem_ne_aft_sch_prog,mid_ne_aft_sch_prog,hs_ne_aft_sch_prog,elem_ne_fam_comm,mid_ne_fam_comm,hs_ne_fam_comm,elem_ne_staff_well,mid_ne_staff_well,hs_ne_staff_well,elem_pa_gen_guide_pe_class,mid_pa_gen_guide_pe_class,hs_pa_gen_guide_pe_class,elem_pa_thru_day,mid_pa_thru_day,hs_pa_thru_day,elem_pa_punish,mid_pa_punish,hs_pa_punish,elem_pa_recess,mid_pa_recess,hs_pa_recess,elem_pa_bef_aft_sch,mid_pa_bef_aft_sch,hs_pa_bef_aft_sch,elem_pa_fam_comm,mid_pa_fam_comm,hs_pa_fam_comm,Notes,leaid,leaname,fips,stateabb,year,grade,3_mean_edfa_ela,3_se_edfa_ela,3_mean_edfa_math,3_se_edfa_math,4_mean_edfa_ela,4_se_edfa_ela,4_mean_edfa_math,4_se_edfa_math,5_mean_edfa_ela,5_se_edfa_ela,5_mean_edfa_math,5_se_edfa_math,6_mean_edfa_ela,6_se_edfa_ela,6_mean_edfa_math,6_se_edfa_math,7_mean_edfa_ela,7_se_edfa_ela,7_mean_edfa_math,7_se_edfa_math,8_mean_edfa_ela,8_se_edfa_ela,8_mean_edfa_math,8_se_edfa_math
Geary County Schools,475,2010,B+,B+,B,E-,E-,E-,A,A,A+,,E,E,A,A,A,,A,,B+,B+,,E+,E+,,B+,B+,B+,E-,E-,A+,B+,A+,B+,B+,B+,,A+,A+,A-,E-,E,B-,B+,A-,B,E,A+,,B+,B+,B+,E-,,,A+,E-,,A+,B+,B,,2007890,GEARY COUNTY SCHOOLS,20,KS,2010,3,0.009994214,0.035211526,0.082190037,0.039784323,0.02991581,0.036630042,-0.042062469,0.038040575,0.05446215,0.039221682,0.15668282,0.040491432,-0.17588651,0.04035268,-0.10912057,0.038707048,-0.045177329,0.041246668,0.094060741,0.041766938,-0.15735969,0.044835676,-0.23316792,0.046578117
Girard,248,2010,B+,B+,B,E,E,E,A,E-,E-,,E+,E+,,,,,,,B+,B+,B+,,,,B+,B+,B+,B+,A-,A-,A+,B-,B+,,,,A-,B-,B-,E-,E-,E-,A+,A+,A+,E-,B+,B+,B+,B+,B+,A+,,,E-,E-,E-,A,A,E-,,2006480,GIRARD,20,KS,2010,3,0.41154599,0.10954365,0.045734785,0.10707468,0.22768278,0.099911459,0.17501305,0.10556215,0.044427354,0.074337758,-0.17993408,0.092004746,-0.072491743,0.10610103,-0.52148086,0.11623749,-0.12404111,0.10730354,-0.083959512,0.096715324,-0.12737712,0.099497445,-0.21750426,0.10796254
Goddard ,265,2010,B,B,B+,E,E,E,A-,A-,A-,,E,E,,E-,E-,,,,A+,A+,A+,,,,A,A,A,A+,A+,A+,E,E,E+,,,,E,E,E,E+,E+,E+,A,A,A,E,E,E,B+,B+,B+,E-,,,E,E,E,E,E,E,,2006540,GODDARD,20,KS,2010,3,0.36159042,0.054821383,0.24374737,0.053696468,0.3095544,0.050912436,0.22776027,0.048566602,0.20125197,0.050787706,0.22309726,0.051555373,0.1769134,0.043383248,0.47393328,0.04783503,0.10606972,0.044176918,0.31609198,0.044158988,0.27451953,0.051584527,0.21163288,0.046476573
Goessel,411,2010,B+,B+,A-,,,,A-,A-,A-,,,,,A+,E-,,,,A-,B+,B+,A+,,,A-,A-,A,A+,E,E,B-,,,,,,B-,B-,B-,E,E,E,A-,E-,A+,E,E,E,B+,B+,B+,E+,,,B-,A+,A+,E,E,E,,2006570,GOESSEL,20,KS,2010,6,,,,,,,,,,,,,0.11840743,0.20744117,-0.14588316,0.19284958,,,,,,,,
Golden Plains,316,2010,B+,B+,A-,E-,E-,E-,E+,E+,E+,,,,,E+,E+,,,,,,,,,,A,A,A,A+,A+,A+,B+,B-,B+,,,,A+,A+,A+,A+,A+,A+,A+,E+,E-,E+,E+,E+,B+,B+,B+,E,,,E,E,E,B,B,B,,2011040,GOLDEN PLAINS,20,KS,2010,8,,,,,,,,,,,,,,,,,,,,,0.062096134,0.21279363,0.76770872,0.2225059
Goodland,352,2010,B+,B+,B,A+,A+,A+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006580,GOODLAND,20,KS,2010,3,-0.29388636,0.12715439,-0.52124751,0.11540441,0.10561949,0.1404056,-0.19964525,0.1119203,-0.43476531,0.14765722,-0.20830691,0.1801955,-0.12291642,0.13011424,-0.027788077,0.12568568,-0.13149458,0.11840443,-0.29806861,0.093531199,-0.085666463,0.14818971,-0.28747067,0.14907596
Great Bend,428,2010,B+,B+,A-,A,A+,A+,,,,A,E,E,,,,,E-,E-,A,A,A-,A+,,,A,A,A+,A+,A+,A+,E+,B+,B+,A+,,,A-,B+,B+,A+,A+,A+,B+,E-,E-,E,A+,A+,B+,B+,B+,A+,,,E,E,E,A+,A+,A+,,2006660,GREAT BEND,20,KS,2010,3,-0.17873371,0.065320641,0.008068528,0.067141451,-0.24628444,0.06658262,-0.16777726,0.077114135,0.024287285,0.069867097,-0.027558267,0.070467636,0.18816178,0.066316113,0.3689585,0.076620176,0.33130828,0.078255653,0.22578949,0.0529688,0.078821979,0.062474415,0.36667347,0.064599231
Greensburg,422,2010,B+,B+,B,A+,A+,A+,A,A,A,A,A,A,,,,,,,B+,B+,B+,,,,A-,B+,A-,B-,B-,B-,E+,E,E,,,,A+,A+,A+,E-,E-,E-,E+,E+,E+,A+,A+,A+,B+,B+,B+,A+,,,E+,E,E,E-,E-,E-,,2006720,GREENSBURG,20,KS,2010,6,,,,,,,,,,,,,-0.20215169,0.18844381,-0.52602744,0.17720918,-0.51998883,0.18390407,-0.61991644,0.17962436,-0.41817579,0.15429153,-0.71853364,0.15659639
Halstead,440,2010,B+,B+,A-,E-,E-,E-,A+,A+,A+,,,,,E-,E,,,,A-,A-,A-,,,,A-,A-,A-,E-,E,E-,B+,B+,B+,,,,A-,A-,A-,A+,A+,A+,E-,A-,A-,E-,A,B+,B+,B+,B+,E-,,,E,E-,E-,E-,A,A,,2006840,HALSTEAD,20,KS,2010,3,0.053918414,0.15243144,0.041472096,0.11581659,0.23136836,0.10479768,0.43772253,0.13273607,0.11519592,0.11943212,0.34614664,0.11589909,0.23092481,0.11348253,0.62410641,0.13776405,0.25887287,0.13152198,0.36649969,0.10477948,0.11829203,0.13589385,0.013745472,0.12938759
Haven,312,2010,B+,B+,A-,E-,E-,E-,A-,A-,A-,A,A,A,,A-,A+,,,,B+,B+,A-,A+,A+,,B,B,B+,E,E,E,A-,A-,A-,A+,A+,,B+,B+,B+,A,A,A,B,A-,E-,A,A,A,B+,B+,B+,E-,,,E,E,E,B,B,B,,2006960,HAVEN PUBLIC SCHOOLS,20,KS,2010,3,0.17244609,0.097663224,0.062360633,0.096002549,0.19782621,0.096699342,0.21814255,0.11284303,0.16307881,0.1389108,0.16926387,0.13568571,0.34785238,0.12613404,0.45606652,0.15572859,0.01665478,0.11235934,0.20035318,0.12528855,0.17294508,0.090651236,0.13084279,0.11176736
Hays,489,2010,B+,B+,A-,E-,E-,E-,,,,,E-,E,,,,,,,A,A-,A-,E+,,,B+,B+,B+,A+,A-,A+,B-,B-,B-,A+,,,B,B+,B+,B+,B-,B-,B,B,B+,E,E,E,B+,B+,B+,E,,,,,,E-,E-,E-,,2007020,HAYS,20,KS,2010,3,0.48282054,0.059451453,0.60088855,0.081563354,0.45554703,0.069285728,0.2819809,0.074460164,0.30472764,0.069364987,0.044656951,0.073546737,0.38331538,0.066539705,0.26522854,0.063102067,0.53693652,0.083991699,0.36151171,0.062632822,0.56607389,0.083700031,0.21387127,0.05735781
Haysville,261,2010,B+,B+,A-,A+,A+,A+,,,,E-,E-,E-,,,,,,,A-,A-,A-,A-,A-,A-,B-,B-,B,B+,B+,B+,B-,B-,B-,,B-,B-,B-,B-,A-,B-,B-,B-,A,A,A-,E-,E-,E-,B-,B-,B+,E,,,,,,A+,A+,A+,,2007050,HAYSVILLE,20,KS,2010,3,-0.051896602,0.055910908,-0.22333522,0.065980546,-0.090887636,0.056001652,-0.13128337,0.059430961,-0.060448993,0.048137505,-0.098663814,0.054525968,-0.28612164,0.053520419,-0.44195092,0.044193003,-0.43659961,0.043902077,-0.41333643,0.047867686,-0.30379644,0.048397735,-0.25784653,0.05426627
Herington,487,2010,B,B,B+,E,E,E,E-,E-,E-,,E,E,,,E,,,,A+,A+,A+,E,,,A,A,A,E,E,E,E,E,E,A,,,E,E,E,E-,E-,E-,A-,A+,E,E,E,E,B+,B+,B+,E,,,E,E,E,E,E,E,,2007110,HERINGTON,20,KS,2010,3,0.17500311,0.14867088,-0.18402646,0.14938591,0.2864621,0.18370681,0.37771985,0.18056376,0.35196576,0.16608183,0.38179111,0.16997226,0.4629024,0.16266079,0.79262161,0.16450679,0.12232868,0.18663804,0.17831475,0.17861727,0.17088215,0.14556329,0.014415187,0.13907421
Hesston,460,2010,B+,B+,A-,E,E,,B+,B+,B+,,E-,E-,,A+,A+,,,A-,,,,,,,A,A,A,B+,B+,A+,B+,B+,B+,,,,B+,B,B,E-,E-,E-,A-,A-,E+,E-,A+,A+,B+,B+,B+,E-,,,B+,A+,A+,B+,B+,B,,2007170,HESSTON,20,KS,2010,3,0.21374947,0.14765324,-0.09693478,0.13418332,0.21683186,0.13570324,0.53517574,0.16681969,0.31283024,0.17167315,-0.21928927,0.12321692,0.60566324,0.13306779,0.56201494,0.18210168,0.3694725,0.091633774,0.10714137,0.098747209,0.26874521,0.12345373,0.69822598,0.15477984
Hiawatha,415,2010,B+,B+,A-,A+,A+,A+,B+,B+,B+,,A+,A+,B+,B+,A-,,,,A-,A-,B+,,,,A,A,A,A-,A-,A-,B+,B+,B+,,,,A+,A-,A-,E-,E-,E-,B,E-,E-,E,E,E,B,B+,B+,E-,,,E-,E,E,E-,E-,A+,,2000006,HIAWATHA,20,KS,2010,3,0.09336447,0.14497668,-0.26176172,0.13748612,-0.15858975,0.14458509,-0.1270007,0.15524431,0.32223862,0.20912234,-0.047445588,0.15104136,0.4581992,0.17177115,0.054118451,0.14414686,0.043232456,0.095305227,0.28128919,0.10186526,0.72736406,0.17324091,0.53804082,0.13789867
Hoisington,431,2010,B+,B+,A-,E-,E-,E-,A+,A+,A+,,,E,,,,,,,A-,A-,A-,,,,A,A,A,A,E-,A,E+,E+,E+,,,,E,A+,A+,E+,E+,E+,A-,A-,E-,E-,A+,A+,B,B+,B+,E-,,,,,,E+,E+,E+,,2007320,HOISINGTON,20,KS,2010,3,0.32135218,0.14321584,0.17139393,0.14735319,0.053714115,0.1437078,0.091576807,0.13813347,0.00146252,0.086179189,0.45767492,0.098717861,0.047749352,0.13860305,0.20515327,0.13176154,-0.00755729,0.15327606,0.23564623,0.14633571,-0.027746586,0.14635955,0.27515915,0.14386603
Holcomb,363,2010,B+,B+,A-,E,E,E,A+,A+,A+,,,E-,,B,B+,,,,A,A-,A,A,,,E,E,E,A+,A+,A+,E,E,E,E-,,,E-,E-,A+,E+,E+,E+,A+,A+,A+,E,E,E,B+,B+,B+,E,,,E,E,E,E-,E-,E-,,2007350,HOLCOMB,20,KS,2010,3,-0.064517811,0.10622221,-0.039194319,0.11091325,-0.16669211,0.13297224,-0.12388457,0.097883813,0.070171237,0.1212332,0.087687388,0.12406866,0.11941041,0.095383532,-0.1245464,0.072465956,0.18134901,0.13287577,0.10500731,0.1160756,-0.032355711,0.089404352,-0.031371213,0.076512389
Holton,336,2010,B,B,A-,A+,A+,A+,A+,A+,A+,,E+,E+,,E,E-,,,E-,E+,E+,E+,,,,E+,E+,E+,E+,E+,E+,E+,E+,E+,,,,E+,E,E,E+,E+,E+,B+,E-,E-,E+,E,E,B+,B+,B+,E+,,,E+,E+,E,E+,E+,E+,,2007380,HOLTON,20,KS,2010,3,-0.10949162,0.10260829,-0.19784053,0.10572392,-0.11620656,0.098160468,-0.056091279,0.10120187,0.067221604,0.12149773,0.039192077,0.11887281,0.17744069,0.15286696,0.28041565,0.13913092,0.23490414,0.10279789,0.14105061,0.087517612,0.12956612,0.09956944,0.37226346,0.099895932
Hoxie Community Schools,412,2010,B+,B+,A-,E+,E+,E+,E+,E+,E+,E,E,E,E,E,E,,,,E-,E-,E-,,,,E+,E+,E+,E,E,E,A+,A,A,,,,E,A-,A-,E,E,E,A,E,E,E+,E+,E+,B+,B+,B+,B+,,,E-,E-,E-,A+,A+,A+,,2007530,HOXIE COMMUNITY SCHOOLS,20,KS,2010,3,-0.046829231,0.17723683,-0.18988036,0.17878221,-0.081451349,0.19401382,-0.44187838,0.1801766,,,,,,,,,-0.13865677,0.1997925,0.29864806,0.19649133,0.062160678,0.20043601,0.41021961,0.19565277
Hugoton Public Schools,210,2010,B,B,B+,E,E,E,A,A,A,B,B,A-,,B+,B+,,,,A,A,A-,A+,A+,,A-,B+,B+,A-,B+,B+,E+,E-,E-,A+,B+,,A-,A,A,A+,A+,A+,B+,A-,A-,E+,A+,A+,B+,B+,B+,A+,,,E,E-,B-,B,,,,2007560,HUGOTON PUBLIC SCHOOLS,20,KS,2010,3,0.1933575,0.099449754,0.093105003,0.13703533,-0.11143958,0.10357425,0.14101809,0.12241911,0.072664812,0.13057925,-0.12869923,0.091388486,0.12520985,0.11414652,0.15377304,0.097317167,-0.078799762,0.11423352,-0.32800832,0.096510284,-0.28670287,0.092356317,-0.5136674,0.095778286
Humboldt,258,2010,B+,B+,A-,A+,A+,A+,A+,A+,A+,,E,E,,A-,A-,,,,A,A-,A-,,,,A,A-,A-,E+,A+,A+,E+,E+,E+,,,,A+,B-,B-,E-,E-,E-,E+,E+,B+,E-,E-,E-,B-,B-,B-,E-,,,E+,E,E,E-,E-,E-,,2007590,HUMBOLDT,20,KS,2010,3,0.07204856,0.1420662,0.25730154,0.14761858,0.14652199,0.15300253,-0.30361679,0.13792808,0.23386976,0.14834169,0.05938109,0.14572918,-0.16104028,0.14602132,-0.11164463,0.13773242,-0.081060514,0.13996175,0.28930205,0.13836424,0.13620023,0.13656692,0.50028348,0.13517675
Hutchinson,308,2010,B+,B+,B,A-,A-,A-,A-,A-,A,E,E,E,,A,A-,B+,B+,B+,B,B,B,B+,,,B-,B-,B-,B+,B+,B+,A,B-,B-,B-,B-,B-,B-,,,A-,A-,A-,B-,B,B,B+,B+,B+,B,B,B,B-,,,,A,A+,B-,B-,B-,,2007620,HUTCHINSON PUBLIC SCHOOLS,20,KS,2010,3,-0.037700046,0.049981304,-0.099275641,0.0505112,-0.18034951,0.052520998,-0.26765406,0.052246541,0.062125728,0.068409458,-0.11888444,0.058006335,-0.11826726,0.046292275,-0.088687807,0.054620288,-0.089006424,0.058217745,-0.1405247,0.053277854,-0.060796026,0.068125658,-0.063117936,0.057324842
Independence,446,2010,B+,B+,A-,A+,A+,A+,A+,A+,E-,,E,E,E-,E-,E+,,,,A,A-,A-,E+,,,A,A,A,E,E,E,E+,E,E-,E+,,,E+,E+,E+,E,E,E,B+,A+,A+,E+,E+,E+,B+,B+,B+,A+,,,E+,E+,E,E,E,E,,2007650,INDEPENDENCE,20,KS,2010,3,-0.22820936,0.09555839,-0.15995166,0.086774021,-0.37258124,0.088812813,-0.29930562,0.10049877,0.10601431,0.092472456,0.15174,0.099194251,-0.002811923,0.079872876,0.087537736,0.080040008,-0.21404219,0.088824637,-0.20696306,0.092878446,0.023542726,0.079063818,0.099083498,0.084202506
Ingalls,477,2010,B+,B+,A-,A-,A-,A-,A,A+,A+,E+,E+,E+,,E-,E,,,,A-,A-,A-,,,,A-,A-,A-,E,E,E,A-,A-,A-,A+,A+,A+,A-,A-,A-,E-,E-,E-,A-,A+,A+,E,E,E,B+,B+,B+,A,,,E-,E,E,E-,E-,E-,,2007680,INGALLS,20,KS,2010,4,,,,,0.40907103,0.19441351,0.97437572,0.20885777,0.30109051,0.21863842,-0.013669853,0.20358752,0.15257634,0.18743561,-0.056213405,0.17511767,,,,,,,,
Inman,448,2010,B,B,B,,,,A+,A+,A+,,,,,A,A+,,,,A,A,A,,,,B,B,B,A+,A+,A+,B-,B-,B-,,,,B-,B-,B-,E-,E-,E-,B-,B-,B-,B-,B-,B-,B+,,,B-,,,,,,B-,A+,A+,,2007710,INMAN,20,KS,2010,3,0.26476583,0.17465374,0.01840524,0.17636348,-0.18036422,0.16840501,-0.34303641,0.16149074,-0.060393333,0.15831904,-0.053668618,0.16053614,0.78696287,0.21069686,-0.22653179,0.1622998,0.38558501,0.15367116,-0.031556662,0.13900834,0.23260659,0.16006173,0.071540646,0.14696233
Iola,257,2010,B,B,B+,E-,E-,A+,E-,E,E,A+,E-,E,,E,E+,,E+,E,A,A,A,E+,E+,E+,B+,A-,A-,B+,B-,A+,E,E-,A-,E,,,E-,E-,A+,E-,E-,A+,B,A-,A-,E,E,A+,B+,B+,B+,E,,,E,E,E,E,E,E,,2007740,IOLA,20,KS,2010,3,0.16622762,0.10762434,0.23826072,0.10931937,0.10442,0.10508242,0.006273346,0.12772988,0.005897928,0.10995957,-0.17707922,0.10339825,-0.13765271,0.11222134,-0.2124237,0.096803702,0.12714113,0.10317812,0.43823126,0.089097761,0.08864288,0.090894036,0.14758214,0.085645057
Jayhawk,346,2010,B+,B+,A-,A+,A+,A+,A+,E-,E-,,,,,E,E,,,,A,A,A,A+,,,A-,A,A,A-,A+,E-,B+,B+,B+,,,,A-,B+,B+,E+,E+,E+,A-,A+,E-,E+,E+,E+,B+,B+,B+,E-,,,E,E+,E+,E+,E+,E+,,2007750,JAYHAWK,20,KS,2010,3,-0.26975781,0.15424854,-0.01558778,0.15985131,-0.20577584,0.16571507,-0.39787287,0.15742743,0.29509711,0.14094952,0.082759887,0.13748612,-0.18306236,0.15318039,-0.27948767,0.1439583,-0.37099281,0.14447045,-0.62078476,0.13947937,-0.003370615,0.14337881,-0.33501983,0.13908078
Jefferson County North,339,2010,B+,B+,A-,A+,A+,A+,A+,A+,A+,,,,A+,A+,E,E,E,E-,A,A,A,E+,,,B,B-,B+,A,A,A,A-,A-,A,A,,,A,A,A+,A,A,A,A,A+,A+,E-,A+,A+,B+,B+,B+,A+,,,B+,A+,A+,E-,E-,E-,,2013020,JEFFERSON COUNTY NORTH,20,KS,2010,3,-0.2088393,0.15684572,-0.37001398,0.15880516,0.047745548,0.1453858,0.25955504,0.13987072,0.00132336,0.15827449,0.16482393,0.16082086,-0.004560201,0.14635321,-0.16553941,0.13489573,-0.027082792,0.1690394,-0.090293378,0.16534214,0.19735734,0.15519138,0.28802902,0.14886349
Jefferson West,340,2010,B+,B+,A-,E,E,E,A+,A+,A+,,,E,,E-,A+,,,,A,A,A,,,,A-,A-,A-,E,E-,E,E+,E,E,,,,A+,A+,A+,E+,E+,E+,B+,B+,A+,E,E,E,B+,B+,B+,E,,,,,,E-,E-,E-,,2009510,JEFFERSON WEST,20,KS,2010,3,0.25918403,0.12987456,0.2176818,0.14048164,0.035685714,0.10645069,0.057405621,0.12408976,-0.080351338,0.15295659,-0.23670259,0.10763539,-0.044072878,0.12467895,0.060682081,0.10896821,0.46677497,0.19320419,0.18865323,0.12989739,0.080157071,0.099978402,0.28406975,0.12929201
Kansas City,500,2010,B+,B+,A-,E,E,E,A,A+,A+,,E+,E+,E+,E+,E+,,,,B+,B+,B+,A+,A+,A+,A,B+,B+,E,E,E,E,E,E,E,E-,E-,A+,E-,A+,E+,E+,E+,A-,B,B,E+,E-,E-,B+,B+,B+,B,,,E+,B-,B-,B,B,B,,2007950,KANSAS CITY,20,KS,2010,3,-0.66910702,0.0276934,-0.61909395,0.027364921,-0.69652027,0.026322186,-0.64446086,0.025685372,-0.65315264,0.025431501,-0.57720202,0.026175253,-0.79178113,0.025856202,-0.6716451,0.026144683,-0.74860251,0.025286522,-0.5663147,0.025470274,-0.69161505,0.027097933,-0.52268571,0.023768395
Kaw Valley,321,2010,B+,B+,A-,E,E,E,E-,E-,E-,A+,E-,E,,A,A,B,,,A-,A-,A-,,,,B+,B+,B+,A+,A-,B+,E-,E,E-,E-,A+,B-,A+,A,A,E,E,E,B+,B+,B,A+,A+,A+,B+,B+,B+,E-,,,E-,E-,-,E-,B-,B-,,2007970,KAW VALLEY,20,KS,2010,3,0.10779047,0.11418065,-0.18836413,0.1291393,-0.093424253,0.10354812,0.085597903,0.087436482,0.11138263,0.11152405,0.35392639,0.1181596,-0.014545389,0.083979167,-0.007963811,0.11567102,-0.25078151,0.10645545,-0.15950581,0.10487344,-0.31463441,0.095186934,-0.22792798,0.093890272
Kingman,331,2010,B+,B+,A-,E,E,E,A+,A+,A+,A+,A+,A+,A,A,A-,,,,B+,B+,B+,,,,A,A,B,A,A,A,B+,B+,B-,,,,B-,B-,B-,E-,E-,A+,B+,B+,B,E,A+,A+,B-,B-,B-,B+,,,A+,A+,B+,A,A,B+,,2008070,KINGMAN - NORWICH,20,KS,2010,3,0.20637165,0.13520065,0.17892772,0.14390554,-0.094381437,0.11950701,-0.10647769,0.11614809,-0.17630094,0.13022853,-0.033522412,0.11631657,-0.38593829,0.10216438,-0.31192797,0.12143745,-0.023558652,0.12020919,-0.52309954,0.087791055,0.18326661,0.12327783,-0.41428629,0.091016233
Kinsley-Offerle,347,2010,B+,B+,A-,E-,E-,E-,A-,A-,A-,,,,A-,A,A,,,,A,A-,A-,,,,B+,B,B+,A+,A+,A+,A,A,A,,,,B,B-,B-,E,E,E,B,E-,A-,E+,E,E,B,B,B,E-,,,,,,E-,E-,E-,,2008100,KINSLEY-OFFERLE,20,KS,2010,3,0.37797636,0.18158425,0.50748384,0.1952929,,,,,0.073958583,0.2028418,0.22436716,0.20332663,0.063419096,0.17123637,-0.1770363,0.16054541,-0.3973859,0.20004423,-0.52751219,0.19130774,-0.31340149,0.17352411,-0.29920566,0.16985722
Kismet-Plains,483,2010,B+,B+,A-,A+,A+,A,A,A,A,,,,,,,,,,A,A,A,,,,B-,B-,A,B-,B-,B-,E-,E-,B+,,,,B+,B+,B+,E+,E+,E+,A+,A-,A-,E-,E-,E-,B+,B+,B+,E,,,E,E,,A+,,,,2008190,KISMET-PLAINS,20,KS,2010,3,-0.36395702,0.12931082,-0.47244322,0.13217016,0.14610672,0.12669002,0.061950929,0.13626723,-0.36128163,0.13377918,-0.17176341,0.11920677,0.10829298,0.095315099,-0.25849828,0.090266727,-0.13444674,0.10268308,-0.16175005,0.12605049,-0.31473628,0.094659775,-0.19754662,0.10806514
Labette County,506,2010,B,,A-,A,,A,A+,,E-,,,E-,,,A-,,,B,A-,,A-,,,,B,,B,A+,,B+,E,,E,,,,A,,A-,E,,E,B,,B,E,,E,B+,,B+,A+,,,B+,,B+,E-,,E-,,2003300,LABETTE COUNTY,20,KS,2010,3,0.47256875,0.072364308,0.54082286,0.099265836,0.3163524,0.089095362,0.2401468,0.078230515,0.27241451,0.089899808,0.264541,0.086457521,0.32345447,0.076465778,0.25763223,0.065540016,0.31181192,0.075561985,0.52459633,0.091456629,0.21275733,0.066565201,0.31376582,0.073851034
LaCrosse,395,2010,B+,B+,A-,A+,E-,E-,E,E,E,,,,E-,E-,E,,,,E,E,E,,,,A,A,A,B+,A-,A+,A+,B+,B+,,,,A-,A-,A-,E,E,E,E+,E+,E+,E-,E-,E-,B+,B+,B+,E-,,,,,,E,E,E,,2008220,LACROSSE,20,KS,2010,4,,,,,-0.27557844,0.18835351,-0.26599413,0.17900966,,,,,,,,,,,,,-0.19340797,0.16882776,-0.14071395,0.16572842
Lakin,215,2010,B+,B+,B,A-,A-,A-,B+,A-,A-,,,,,,A+,,,,A,A,A,,,,A,A,A,E-,A,A-,E-,E-,B+,,,,A+,A+,A-,A,A,A,B,A-,A-,E,E-,E-,B+,B+,B+,A,,,B+,B+,B+,A+,A+,A+,,2008280,LAKIN,20,KS,2010,3,0.29445451,0.14156598,0.099344231,0.14352387,-0.13872735,0.13415362,-0.15481736,0.12850454,-0.31710744,0.12707298,-0.31794068,0.12783316,-0.009406384,0.11472408,0.13045211,0.097547658,-0.10249255,0.093754232,0.33458474,0.17861371,-0.06744545,0.1300815,0.05141034,0.12657419
Lansing,469,2010,B+,B+,A-,E-,E-,E-,E-,E-,E-,E-,E,E,A+,A+,A+,,,,A,E-,A,A+,A+,,A,A,A+,A+,E,A,E,B+,E+,E,A,,E,E,B-,E+,E+,E+,A-,B+,A+,E,A+,E-,B+,B+,B+,E-,,,,,,E,A+,E-,,2008340,LANSING,20,KS,2010,3,0.13632993,0.075937882,-0.18172346,0.077997155,0.12679143,0.081133865,-0.14036468,0.090007842,-0.015628919,0.086765796,-0.2016428,0.080530174,0.10863554,0.068364553,-0.15484083,0.072962306,0.31584603,0.071921982,0.20006083,0.061282936,0.23926066,0.061128598,0.20144391,0.076737754
Lawrence,497,2010,B+,B+,B+,E,E,E,A+,A+,A+,E+,E,E,,B+,A-,,,B,A-,A-,A-,E+,E-,,A,A+,A,E,A-,B-,A+,A+,B-,A+,A+,,A-,A-,B-,E+,E+,E+,B,B,B,E,E,A+,B,B,B,A-,,,A+,A+,B-,A+,A+,A+,,2008400,LAWRENCE,20,KS,2010,3,0.23410368,0.037390154,0.089417979,0.039306376,0.19243371,0.042901281,0.11186823,0.040975064,0.17074743,0.042512726,-0.19141705,0.037254825,0.30173609,0.039866485,0.070412718,0.036794156,0.12013417,0.039044235,-0.061262768,0.035558455,0.17049167,0.038616695,0.013261721,0.030931888
Leavenworth,453,2010,B+,B+,A-,E-,E-,E-,A+,E-,E-,E-,E-,E,,E-,E-,,E-,E-,A-,A-,A-,,,,B,B,B,A,A,A-,B+,B+,B+,,,,B,B,B,E-,E-,E-,B,A-,A-,B-,B-,B-,B+,B+,B+,B-,,,A+,E-,E-,E-,E-,A+,,2008430,LEAVENWORTH,20,KS,2010,3,-0.2394395,0.058505382,-0.38165745,0.063789405,-0.25050765,0.060554788,-0.49906239,0.061702259,-0.53811526,0.063266098,-0.6603781,0.062255263,-0.63279253,0.061434351,-0.8278271,0.058788516,-0.49866322,0.053934637,-0.36975932,0.068651736,-0.33800951,0.066980943,-0.36930108,0.059755635
Lebo-Waverly,243,2010,B+,B+,A-,E,E+,E,E-,E-,E-,,A+,A+,,,E+,,,,A-,,A,E+,E+,,B,B,B,E,E,E,B+,B+,B+,B+,B+,,B,B,B,A+,A+,A+,A+,A+,A-,E+,E+,E+,B+,B+,B+,A+,,,E-,E-,E-,B,B,B,,2012810,LEBO-WAVERLY,20,KS,2010,3,0.18363884,0.15212651,0.29669279,0.16077183,-0.074052393,0.15448713,-0.36112207,0.14892705,0.23912002,0.1441682,0.11739785,0.14191881,-0.075163879,0.14435656,0.26289862,0.13927503,-0.081614695,0.13755222,-0.44491836,0.13135248,-0.15630063,0.10391662,-0.16258165,0.099858224
